publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,micro_type,water_depth_m,water_depth_m_value,water_depth_m_location,chla_gm2,log_chla_gm2,chla_gm2_value,chla_gm2_conversion,chla_gm2_location,chla_gm3,log_chla_gm3,afdm_gm2,log_afdm_gm2,afdm_gm2_value,afdm_gm2_conversion,afdm_gm2_location,water_tp_ugl,log_water_tp_ugl,water_tp_ugl_conversion,water_tp_ugl_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tp_stock_gm3,log_tp_stock_gm3,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Total mercury and methylmercury accumulation in periphyton of Boreal Shield Lakes: Influence of watershed physiographic characteristics,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2005.02.036,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.0665,-1.177,value,mg/m2 to g/m2,table 2,0.13,-0.876,89.2,1.95,value,none,table 2,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Total mercury and methylmercury accumulation in periphyton of Boreal Shield Lakes: Influence of watershed physiographic characteristics,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2005.02.036,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.0949,-1.023,value,mg/m2 to g/m2,table 2,0.19,-0.722,124.3,2.094,value,none,table 2,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Total mercury and methylmercury accumulation in periphyton of Boreal Shield Lakes: Influence of watershed physiographic characteristics,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2005.02.036,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.1636,-0.786,maximum,mg/m2 to g/m2,table 2,0.33,-0.485,137.6,2.139,maximum,none,table 2,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.005,-2.301,minimum,mg/m2 to g/m2,table 2,0.01,-2,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.012,-1.921,minimum,mg/m2 to g/m2,table 2,0.02,-1.62,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.014,-1.854,minimum,mg/m2 to g/m2,table 2,0.03,-1.553,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.015,-1.824,minimum,mg/m2 to g/m2,table 2,0.03,-1.523,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.074,-1.131,maximum,mg/m2 to g/m2,table 2,0.15,-0.83,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.11,-0.959,maximum,mg/m2 to g/m2,table 2,0.22,-0.658,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.209,-0.68,maximum,mg/m2 to g/m2,table 2,0.42,-0.379,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Desrosiers et al., 2006","Desrosiers, M., Planas, D., & Mucci, A.",2006,Short-term responses to watershed logging on biomass mercury and methylmercury accumulation by periphyton in boreal lakes,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f06-077,NA,Quebec,Canada,boreal shield lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epilithon,0.5,value,methods text,0.24,-0.62,maximum,mg/m2 to g/m2,table 2,0.48,-0.319,-9999,-9999,NA,NA,NA,8.8,0.944,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.72,value,table 2,0.0273,-1.564,mean,ug/cm2 to g/m2,table 2,0.04,-1.421,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.35,value,table 2,0.024,-1.62,mean,ug/cm2 to g/m2,table 2,0.07,-1.164,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.3,value,table 2,0.0788,-1.103,mean,ug/cm2 to g/m2,table 2,0.26,-0.581,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.98,value,table 2,0.2906,-0.537,mean,ug/cm2 to g/m2,table 2,0.3,-0.528,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,3,value,table 2,0.8994,-0.046,mean,ug/cm2 to g/m2,table 2,0.3,-0.523,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.34,value,table 2,0.1063,-0.973,mean,ug/cm2 to g/m2,table 2,0.31,-0.505,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,1.35,value,table 2,0.5008,-0.3,mean,ug/cm2 to g/m2,table 2,0.37,-0.431,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.2,value,table 2,0.076,-1.119,mean,ug/cm2 to g/m2,table 2,0.38,-0.42,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.15,value,table 2,0.0678,-1.169,mean,ug/cm2 to g/m2,table 2,0.45,-0.345,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.5,value,table 2,0.5008,-0.3,mean,ug/cm2 to g/m2,table 2,1,0.001,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.3,value,table 2,0.4388,-0.358,mean,ug/cm2 to g/m2,table 2,1.46,0.165,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.8,value,table 2,1.4634,0.165,mean,ug/cm2 to g/m2,table 2,1.83,0.262,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.15,value,table 2,0.292,-0.535,mean,ug/cm2 to g/m2,table 2,1.95,0.289,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.4,value,table 2,1.372,0.137,mean,ug/cm2 to g/m2,table 2,3.43,0.535,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.15,value,table 2,1.9288,0.285,mean,ug/cm2 to g/m2,table 2,12.86,1.109,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.1,value,table 2,1.9324,0.286,mean,ug/cm2 to g/m2,table 2,19.32,1.286,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.06,value,table 2,1.2172,0.085,mean,ug/cm2 to g/m2,table 2,20.29,1.307,-9999,-9999,NA,NA,NA,1,0,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,0.5,value,table 2,0.7347,-0.134,mean,ug/cm2 to g/m2,table 2,1.47,0.167,-9999,-9999,NA,NA,NA,11,1.041,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,2,value,table 2,0.2086,-0.681,mean,ug/cm2 to g/m2,table 2,0.1,-0.982,-9999,-9999,NA,NA,NA,32,1.505,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2013","Dunck, B., Nogueira, I. S., & Felisberto, S. A.",2013,"Distribution of periphytic algae in wetlands (Palm swamps, Cerrado), Brazil",Brazilian Journal of Biology,https://doi.org/10.1590/S1519-69842013000200013,NA,Goias, Brazil,Palm swamp,swamp,wetland,wetland,epiphyton,2,value,table 2,0.1833,-0.737,mean,ug/cm2 to g/m2,table 2,0.09,-1.038,-9999,-9999,NA,NA,NA,800,2.903,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2016","Dunck, B., Algarte, V. M., Cianciaruso, M. V., & Rodrigues, L.",2016,Functional diversity and trait?environment relationships of periphytic algae in subtropical floodplain lakes,Ecological Indicators,https://doi.org/10.1016/j.ecolind.2016.02.060,NA,NA,Brazil,shallow lake,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,epiphyton on Eichhornia azurea,NA,NA,NA,0.94,-0.027,minimum,ug/cm2 to g/m2,results text,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Dunck et al., 2016","Dunck, B., Algarte, V. M., Cianciaruso, M. V., & Rodrigues, L.",2016,Functional diversity and trait?environment relationships of periphytic algae in subtropical floodplain lakes,Ecological Indicators,https://doi.org/10.1016/j.ecolind.2016.02.060,NA,NA,Brazil,shallow lake,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,epiphyton on Eichhornia azurea,NA,NA,NA,100,2,maximum,ug/cm2 to g/m2,results text,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.002,-2.709,value,none,NA,-9999,-9999,1.69,0.227,mean,none,NA,-9999,-9999,NA,NA,0.0003,-3.574,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0031,-2.505,value,none,NA,-9999,-9999,14.28,1.155,mean,none,NA,-9999,-9999,NA,NA,0.0031,-2.503,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0109,-1.962,value,none,NA,-9999,-9999,35.64,1.552,mean,none,NA,-9999,-9999,NA,NA,0.0038,-2.424,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0018,-2.741,value,none,NA,-9999,-9999,31.44,1.498,mean,none,NA,-9999,-9999,NA,NA,0.0048,-2.317,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.002,-2.699,value,none,NA,-9999,-9999,80.69,1.907,mean,none,NA,-9999,-9999,NA,NA,0.0088,-2.054,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0137,-1.863,value,none,NA,-9999,-9999,48.38,1.685,mean,none,NA,-9999,-9999,NA,NA,0.0094,-2.025,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0031,-2.506,value,none,NA,-9999,-9999,81.7,1.912,mean,none,NA,-9999,-9999,NA,NA,0.0099,-2.004,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0139,-1.858,value,none,NA,-9999,-9999,104.04,2.017,mean,none,NA,-9999,-9999,NA,NA,0.0099,-2.005,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0131,-1.884,value,none,NA,-9999,-9999,133.32,2.125,mean,none,NA,-9999,-9999,NA,NA,0.0101,-1.994,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0034,-2.474,value,none,NA,-9999,-9999,114.67,2.059,mean,none,NA,-9999,-9999,NA,NA,0.0107,-1.972,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0051,-2.292,value,none,NA,-9999,-9999,170.23,2.231,mean,none,NA,-9999,-9999,NA,NA,0.0127,-1.896,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0019,-2.725,value,none,NA,-9999,-9999,209.89,2.322,mean,none,NA,-9999,-9999,NA,NA,0.0131,-1.884,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0028,-2.56,value,none,NA,-9999,-9999,110.22,2.042,mean,none,NA,-9999,-9999,NA,NA,0.0136,-1.866,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0033,-2.476,value,none,NA,-9999,-9999,183.12,2.263,mean,none,NA,-9999,-9999,NA,NA,0.0138,-1.859,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0226,-1.646,value,none,NA,-9999,-9999,127.46,2.105,mean,none,NA,-9999,-9999,NA,NA,0.0142,-1.849,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0095,-2.021,value,none,NA,-9999,-9999,188.07,2.274,mean,none,NA,-9999,-9999,NA,NA,0.0143,-1.845,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0046,-2.335,value,none,NA,-9999,-9999,158.66,2.2,mean,none,NA,-9999,-9999,NA,NA,0.0158,-1.802,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.034,-1.468,value,none,NA,-9999,-9999,116.02,2.065,mean,none,NA,-9999,-9999,NA,NA,0.0162,-1.792,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.0093,-2.032,value,none,NA,-9999,-9999,244.55,2.388,mean,none,NA,-9999,-9999,NA,NA,0.0168,-1.774,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,0.005,-2.299,value,none,NA,-9999,-9999,140.34,2.147,mean,none,NA,-9999,-9999,NA,NA,0.0173,-1.761,value,ug/g with g/m2 to calculate g/m2,NA,-9999,-9999,-9999,-9999,NA,NA,NA
